measurement_date,hive_id,colony_health,temperature_c,humidity_pct,honey_yield_kg,rolling_7d_avg_yield,rolling_3d_avg_temp
2026-01-06,HIVE_1,95,20.794081597544913,65.00397065701766,39.875685022532195,,
2026-01-09,HIVE_1,81,30.68823991915007,58.42089691871034,27.625773631024025,39.875685022532195,20.794081597544913
2026-01-15,HIVE_1,62,20.70389562072764,59.625815144140645,26.52038537847234,33.750729326778114,25.74116075834749
2026-01-17,HIVE_1,63,34.06152188486449,52.71033571060714,43.73566855309318,31.340614677342856,24.062072379140872
2026-01-27,HIVE_1,67,32.15362264647317,71.64339010917168,16.972142030365017,34.43937814628043,28.484552474914068
2026-01-29,HIVE_1,81,21.261560678151,44.482595646021664,19.771072101426117,30.945930923097347,28.973013384021765
2026-02-10,HIVE_1,72,23.65783950741091,53.182748605613625,17.755941668071173,29.08345445281881,29.15890173649622
2026-02-16,HIVE_1,71,22.6268231422397,78.74696401729025,23.856779832268867,27.465238340712006,25.69100761067836
2026-02-18,HIVE_1,75,22.25031996146987,76.69455232985894,18.81616153394341,25.176823313531532,22.51540777593387
2026-03-22,HIVE_1,97,23.12969090336707,59.56145531881187,43.59940214853824,23.91830729966287,22.84499420370683
2026-04-02,HIVE_1,75,22.6567188929601,77.48203153557127,39.51669730701704,26.358166838243715,22.668944669025546
2026-04-12,HIVE_1,88,30.586388388162757,46.454437251756076,26.37070870153329,25.75545666023284,22.67890991926568
2026-04-15,HIVE_1,65,26.76448898822284,72.22452009101602,38.775100003362226,27.098109041828305,25.457599394829973
2026-04-18,HIVE_1,69,32.77345083717579,72.35259934741896,23.691472732506565,29.81297017067632,26.669198756448566
2026-04-29,HIVE_1,73,23.181205664523837,52.993607382374705,32.60031602041619,30.660903179881377,30.041442737853796
2026-06-02,HIVE_1,63,34.43638733006172,44.994177987365035,30.151639098998146,31.909979778188138,27.57304849664082
2026-06-05,HIVE_1,94,23.81988911340015,57.414908060917774,41.81684432479746,33.529333716053095,30.13034794392045
2026-06-23,HIVE_1,71,31.244816807924277,41.266572665920066,41.361132591378265,33.27468259837584,27.145827369328572
2026-07-01,HIVE_1,93,20.488061950553195,72.15598964979189,49.64482257972463,33.53817335328459,29.83369775046205
2026-07-14,HIVE_1,79,34.07694753702057,68.55051349684257,49.276180576129036,36.86304676445478,25.18425595729254
2026-01-07,HIVE_2,67,25.93937257508164,48.24771027302734,26.855408220737633,,
2026-01-12,HIVE_2,73,23.545730111029965,66.19821998430359,28.853812900756136,26.855408220737633,25.93937257508164
2026-01-18,HIVE_2,73,23.147516068686876,50.43435108865529,30.829998309068863,27.854610560746885,24.7425513430558
2026-01-25,HIVE_2,65,30.08164125262938,40.72310436719616,48.67725879844628,28.846406476854213,24.21087291826616
2026-01-28,HIVE_2,90,32.05886044110734,65.73874888746896,23.449455571192672,33.80411955725223,25.591629144115405
2026-02-05,HIVE_2,80,26.498211058721452,72.64326604516268,30.15075943738261,31.733186760040315,28.4293392541412
2026-02-06,HIVE_2,94,29.468955035350724,75.7804606659286,40.582731933798634,31.4694488729307,29.546237584152724
2026-02-07,HIVE_2,65,23.760499403681788,74.22582016134817,38.49583732862101,32.77134645305469,29.342008845059837
2026-02-08,HIVE_2,80,22.185138407512724,79.8720972295942,35.357595591175524,34.434264897038034,26.57588849925132
2026-02-11,HIVE_2,65,28.665237335818794,56.81174208059002,26.094316600710865,35.36337670995509,25.13819761551508
2026-02-17,HIVE_2,79,29.937335012513156,78.90040457723771,29.266386564056006,34.68685075161823,24.8702917156711
2026-02-28,HIVE_2,88,28.718601511977717,65.57508140836785,38.23490810996006,31.91386900384819,26.92923691861489
2026-03-01,HIVE_2,99,34.82197772778474,50.64611071611677,31.0310700451286,34.026076509386385,29.107057953436556
2026-03-03,HIVE_2,92,31.465073720890118,45.33419955274405,22.170327649932503,34.15183516763581,31.159304750758537
2026-03-05,HIVE_2,65,23.246618669991744,74.91836471932235,34.47352931352158,31.52149169851208,31.668550986884195
2026-03-09,HIVE_2,96,32.33084781242397,54.49664296012399,17.199524118739497,30.946876267783598,29.844556706222203
2026-03-13,HIVE_2,67,23.315068305367006,48.566383638270196,20.513846035226404,28.35286605743559,29.01418006776861
2026-03-25,HIVE_2,75,32.45297991907751,43.026797473143965,28.79873773537438,27.555655976652094,26.297511595927574
2026-03-30,HIVE_2,64,33.9409647337648,47.3991323755101,26.262288354017326,27.488849001126145,29.36629867895616
2026-04-13,HIVE_2,78,33.335186010213334,69.68099314105568,22.99007583532827,25.778474750277184,29.903004319403106
2026-04-17,HIVE_2,88,27.68970821045906,50.47589995635842,15.322171623915848,24.62976129173428,33.24304355435188
2026-04-20,HIVE_2,60,28.284918624494132,73.56908763743314,42.88483899457097,23.651453288017613,31.65528631814573
2026-04-27,HIVE_2,64,33.24333794915178,64.01605028718984,49.118669401478655,24.853068956738955,29.76993761505551
2026-05-01,HIVE_2,96,21.66261070353662,47.08444135039406,28.79171718054114,29.412946854273123,29.739321594701654
2026-05-04,HIVE_2,92,23.967230360670598,40.151645202676384,20.840213929629634,30.595499875032367,27.730289092394177
2026-05-14,HIVE_2,95,25.19106887399444,66.38443073716815,25.44477969943052,29.458567902783123,26.291059671119665
2026-05-15,HIVE_2,71,32.86974048856359,69.61972715589576,33.63489378202749,29.34178095212786,23.60696997940055
2026-05-20,HIVE_2,83,22.369663079724443,61.33325813376017,33.81414731349034,30.862469230227752,27.342679907742877
2026-05-22,HIVE_2,63,25.274728173561307,67.48604165336863,20.493955431508677,33.50418004302411,26.810157480760825
2026-05-25,HIVE_2,65,34.33705478886975,66.1940904178852,19.68125813838759,30.305482391158062,26.838043913949786
2026-05-27,HIVE_2,83,21.826684717323296,79.10605084917917,20.246448133099594,26.1001379250022,27.327148680718498
2026-05-31,HIVE_2,92,33.38038165757734,43.99443270075631,39.0422319279495,24.87938520393912,27.14615589325145
2026-06-10,HIVE_2,63,22.514445022019288,55.188951247947216,28.026621758766403,27.479673489413386,29.84804038792346
2026-06-19,HIVE_2,82,29.014380063440235,70.49088181944964,32.01981331729547,27.848508069318513,25.907170465639975
2026-06-25,HIVE_2,71,20.026350627006376,65.90459331592997,36.239646450662306,27.61778228864251,28.30306891434562
2026-06-30,HIVE_2,65,24.016038294164424,72.7904038170113,29.660910523906768,27.964282165381366,23.851725237488633
2026-07-08,HIVE_2,83,33.60267703799484,43.41720132866432,33.14604066551292,29.27384717858109,24.35225632820368
2026-07-11,HIVE_2,76,22.59200270378194,43.888556996937204,29.366948750020562,31.197387539598992,25.88168865305521
2026-07-15,HIVE_2,61,30.577167024274054,78.5822953163646,19.31581608236774,32.50031619915913,26.7369060119804
2026-01-08,HIVE_3,82,34.46111758695695,64.02204640266156,24.924686105223863,,
2026-01-10,HIVE_3,94,21.88550447191309,72.03758638284702,36.35428541552896,24.924686105223863,34.46111758695695
2026-01-20,HIVE_3,87,25.332942157934042,73.65948928436733,39.66579696197509,30.639485760376413,28.17331102943502
2026-01-22,HIVE_3,98,34.97501088921655,65.82498439689161,25.907189351012626,33.648256160909305,27.22652140560136
